item,topic01,topic02,topic03,topic04,primary_factor,facet,reverse,secondary_factor,facet,"reverse
",type1,type2,type3,WX,WX,NX,WY,WX,WX,WY,NY,WX,NX,WY,WY,NY,WX,NX,WY,WX,WY,NX,WX,WY,WY,WX,NY,WX,WY,WX,NY,WY,WX,NX,WX,WY,WX,WY,WX,NX,WY,WY,WX,NY,WX,WY,NX,WX,WY,WX,NY,NX,NY
Making out with someone you just met in public.,Love & Sex,In Public,,,Extraversion,Excitement-Seeking,TRUE,Natural_Reactions,Anxiety,FALSE,Relationship,Funny,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Exiting your row crotch-to-face on a plane.,Travel,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Modesty,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Asking to share a table with strangers at a crowded bar or pub.,Play,Food & Drink,,,Extraversion,Assertiveness,TRUE,Agreeableness,Modesty,FALSE,Substances,,,0.5,0.5,0,1,0,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Approaching an attractive stranger at a party.,Love & Sex,In Public,,,Extraversion,Assertiveness,TRUE,Agreeableness,Compliance,FALSE,Relationship,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Hitting on a stranger in a rideshare car.,Love & Sex,In Public,,,Extraversion,Assertiveness,TRUE,Agreeableness,Compliance,FALSE,Relationship,,,0.5,-0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Hitting on a stranger on a train.,Love & Sex,In Public,Travel,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Self-Consciousness,FALSE,Relationship,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Inviting a person you're dating to an event that's really important to you.,Love & Sex,In Public,,,Extraversion,Assertiveness,TRUE,Natural_Reactions,Anxiety,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Not letting the passenger pick the music in your car.,In Public,Friends,,,Openness,Willingness to Experiment,FALSE,Agreeableness,Modesty,FALSE,Transport,,,-0.5,-0.5,-0.5,0.5,0,0,1,0,0,-0.5,-0.5,-0.5,-0.5,0,-0.5,0.5,0,0.5,-0.5,0,-0.5,-0.5,0,-0.5,0,0.5,0,0,-0.5,0,-0.5,0,-0.5,0,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0
Asking the person you're dating about their sexual history.,Love & Sex,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Modesty,FALSE,Relationship,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Going to a winery to taste wines.,Food & Drink,Play,,,Openness,Artistic Interests,TRUE,Extraversion,Activity Level,TRUE,Substances,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Letting your kids make their own mistakes.,Home & Family,,,,Openness,Willingness to Experiment,TRUE,Natural_Reactions,Anxiety,FALSE,Parental,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Telling your parents to shut up.,Home & Family,,,,Extraversion,Assertiveness,TRUE,Agreeableness,Compliance,FALSE,,,,0.5,0.5,0,1,0.5,0.5,1,0.5,0.5,0,1,1,0.5,0.5,0,1,0.5,1,0,0.5,1,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,0,0.5,1,0.5,1,0.5,0,1,1,0.5,0.5,0.5,1,0,0.5,1,0.5,0.5,0,0.5
Smoking marijuana with non-smokers around.,In Public,Habits,,,Openness,Willingness to Experiment,TRUE,Agreeableness,Compliance,FALSE,Substances,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Googling a fact your date doesn't believe to prove them wrong.,Friends,Internet Etc,Habits,,Agreeableness,Trust in others,FALSE,Openness,Intellectual Curiosity,TRUE,Relationship,,,-0.5,0,-0.5,0,0.5,-0.5,0,0,-0.5,-0.5,-0.5,0,0,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0,0,-0.5,0,-0.5,0,-0.5,0,0,-0.5,-0.5,-0.5,0,-0.5,0,-0.5,-0.5,0,0,-0.5,0,-0.5,0,-0.5,-0.5,0,-0.5,0,-0.5,0
Trying a threesome with the person you just started seeing.,Love & Sex,,,,Openness,Willingness to Experiment,TRUE,Extraversion,Excitement-Seeking,TRUE,Relationship,,,-0.5,-1,-0.5,-0.5,-1,-0.5,0.5,0,-0.5,-0.5,0.5,0.5,0,-1,-0.5,-1,-1,0.5,-1,-1,0.5,-1,-1,0,-1,0.5,-0.5,0,0.5,-1,-0.5,-1,0.5,-1,-1,0,-0.5,0.5,-1,-1,0,0,-1,-0.5,-1,0.5,0,-1,-0.5,-1
Telling gross stories.,Friends,,,,Openness,Tolerance for Diversity,TRUE,Natural_Reactions,Sensitivity to Stress,FALSE,,,,-0.5,0,-0.5,0.5,-0.5,0,0.5,0,0,-0.5,0.5,-0.5,-0.5,0,-0.5,0.5,0,0.5,-0.5,-0.5,0.5,0.5,-0.5,0,-0.5,0.5,0,0,0.5,-0.5,-0.5,0,0.5,-0.5,0.5,0,-0.5,0.5,0.5,-0.5,0,-0.5,0.5,-0.5,0,0.5,0,0,-0.5,0
Making up stories for your kids.,Home & Family,,,,Openness,Imagination,TRUE,Agreeableness,Sympathy,TRUE,Parental,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Making up your own moves on the dance floor.,Play,,,,Openness,Imagination,TRUE,Openness,Willingness to Experiment,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Answering honestly when a friend sees you crying and asks what is wrong.,Personal,Friends,,,Openness,Depth of Emotions,TRUE,Agreeableness,Trust in others,TRUE,Trust,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
"Saying ""nothing"" when a friend sees you crying and asks what is wrong.",Personal,Friends,,,Openness,Depth of Emotions,TRUE,Agreeableness,Trust in others,FALSE,Trust,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Crying at a movie.,Play,Personal,,,Openness,Depth of Emotions,TRUE,Natural_Reactions,Self-Consciousness,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Crying on the street when you're having a bad day.,Play,Personal,,,Openness,Depth of Emotions,TRUE,Natural_Reactions,Self-Consciousness,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Going to a dive bar.,Play,Food & Drink,Friends,,Openness,Willingness to Experiment,TRUE,Conscientiousness,Orderliness,FALSE,Substances,,,0,0,-0.5,0.5,0,0,0.5,0,0,-0.5,0.5,0.5,0,0,-0.5,0.5,0,0.5,-0.5,0,0.5,0.5,0,0,0,0.5,0,0,0.5,0,-0.5,0,0.5,0,0.5,0,-0.5,0.5,0.5,0,0,0,0.5,-0.5,0,0.5,0,0,-0.5,0
Eating at a really expensive restaurant to try the food.,Food & Drink,Money,,,Openness,Artistic Interests,TRUE,Conscientiousness,Self-Discipline,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Trying exotic or unusual food.,Food & Drink,,,,Openness,Artistic Interests,TRUE,Natural_Reactions,Anxiety,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Reading reviews before trying a new restaurant.,Food & Drink,Internet Etc,,,Conscientiousness,Cautiousness,TRUE,Openness,Willingness to Experiment,FALSE,,,,0.5,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0,0,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0.5,0,0.5,0.5,0,0.5,0,0.5,0
Hiking on a first date.,Love & Sex,The Great Outdoors,,,Openness,Artistic Interests,TRUE,Extraversion,Activity Level,TRUE,Relationship,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Spending more than two hours at a museum.,Play,,,,Openness,Artistic Interests,TRUE,Openness,Intellectual Curiosity,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Spending more than an hour at a museum.,Play,,,,Openness,Artistic Interests,TRUE,Openness,Intellectual Curiosity,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Planning a trip to watch a meteor shower.,Play,Internet Etc,Friends,,Openness,Artistic Interests,TRUE,Extraversion,Excitement-Seeking,TRUE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Sitting and watching the ocean.,Play,,,,Openness,Artistic Interests,TRUE,Extraversion,Activity Level,FALSE,,,,0.5,0.5,0,0,0.5,0.5,0,-0.5,0.5,0,0,0,-0.5,0.5,0,0,0.5,0,0,0.5,0,0,0.5,-0.5,0.5,0,0.5,-0.5,0,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0.5,-0.5,0.5,0,0,0.5,0,0.5,-0.5,0,-0.5
Going to a nudist resort with a person you just started seeing.,Love & Sex,,,,Openness,Willingness to Experiment,TRUE,Natural_Reactions,Self-Consciousness,FALSE,Relationship,,,-1,-1,-0.5,-1,-1,-1,-1,-1,-1,-0.5,-1,-1,-0.5,-0.5,-1,-1,-1,-0.5,-1,-1,-1,-0.5,-1,-0.5,-1,-0.5,-1,-0.5,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-0.5,-1,-1,0
Freaking out over the future.,School,,,,Openness,Willingness to Experiment,FALSE,Natural_Reactions,Sensitivity to Stress,TRUE,,,,0,0,0.5,0.5,0,0,-0.5,0,0,0.5,-0.5,-0.5,0,0,0.5,-0.5,0,0,-0.5,0,-0.5,0.5,0,0,0,-0.5,1,-0.5,0.5,1,-0.5,0,-0.5,0,-0.5,0.5,-1,-0.5,-1,0.5,-0.5,0,-1,0.5,0.5,-0.5,1,0,-0.5,-1
